ID,NAME,LAT,LONG,ELEVATION
1,pAbadesses,42.22166429,2.243255294,725
2,pAbrera,41.51074567,1.917310383,58
3,pAmetllaMar,40.90912966,0.764308144,96
4,pAngles,41.96012025,2.63176987,150
5,pArbucies,41.8400619,2.418776362,956
6,pArtes,41.79243991,1.935570375,278
7,pBadalona,41.46681186,2.244709968,78
8,pBaells,42.12201452,1.878559556,616
9,pBanyoles,42.11366986,2.791581201,162
10,pBarcelona2,41.41858513,2.123895211,411
11,pBarcelona3,41.37920641,2.105421052,82
12,pBegues,41.28853959,1.908476795,570
13,pBerga,42.10721975,1.827465851,1135
14,pBisbalEmporda,41.97742178,3.035354374,30
15,pBisbalEmporda2,41.96458629,3.03821947,29
16,pBisbalPenedes,41.27319906,1.468812853,181
17,pBlancafort,41.43651336,1.16048732,426
18,pBoi,42.04109412,2.119346323,773
19,pBotarell,41.13742466,1.024231866,148
20,pCabanes,42.3063787,2.954828468,31
21,pCabrils,41.51751699,2.377472408,79
22,pCaldes,41.61261678,2.168274635,176
23,pCampllong,41.89797976,2.818842216,96
24,pCardona,41.92066622,1.696075185,395
25,pCassa,41.87477182,2.927162998,181
26,pCastell,41.80901302,3.031746298,14
27,pCastellbell,41.64656164,1.858396556,147
28,pCastellbisbal,41.47887927,1.975463497,145
29,pCastellnouBages,41.83087346,1.847094854,506
30,pCastelloEmpuries,42.23817973,3.095372489,4
31,pCeloni,41.68034122,2.488976096,133
32,pCerdanyola,41.48405069,2.12742192,84
33,pClariana,41.953766,1.585108748,692
34,pColomers,42.07686002,2.991162733,18
35,pComa,42.18524458,1.525707241,2296
36,pConstanti,41.17047513,1.169917801,108
37,pCristina,41.81813956,2.979121769,35
38,pCruilles,41.97729208,2.996958251,58
39,pCunit,41.20185982,1.633426797,17
40,pDarniusBoadella,42.34058878,2.833225165,155
41,pDas,42.3878125,1.867668594,1097
42,pDespi,41.35181064,2.046600124,7
43,pDosrius,41.61991606,2.445148514,457
44,pEmbPortbou,42.42580311,3.125134912,120
45,pEmbSusqueda,41.97907524,2.527357457,348
46,pEspluga,41.39315529,1.099095071,440
47,pEspolla,42.38456053,3.007033775,84
