ID,NAME,LAT,LONG,ELEVATION
1,hAmetllaMar,40.90912966,0.764308144,96
2,hAngles,41.96012025,2.63176987,150
3,hArbucies,41.8400619,2.418776362,956
4,hArtes,41.79243991,1.935570375,278
5,hBadalona,41.46681186,2.244709968,78
6,hBaells,42.12201452,1.878559556,616
7,hBanyoles,42.11366986,2.791581201,162
8,hBarcelona2,41.41858513,2.123895211,411
9,hBarcelona3,41.37920641,2.105421052,82
10,hBegues,41.28853959,1.908476795,570
11,hBerga,42.10721975,1.827465851,1135
12,hBisbalEmporda,41.97742178,3.035354374,30
13,hBisbalPenedes,41.27319906,1.468812853,181
14,hBlancafort,41.43651336,1.16048732,426
15,hBoi,42.04109412,2.119346323,773
16,hBotarell,41.13742466,1.024231866,148
17,hCabanes,42.3063787,2.954828468,31
18,hCabrils,41.51751699,2.377472408,79
19,hCaldes,41.61261678,2.168274635,176
20,hCassa,41.87477182,2.927162998,181
21,hCastell,41.80901302,3.031746298,14
22,hCastellbisbal,41.47887927,1.975463497,145
23,hCastellnouBages,41.83087346,1.847094854,506
24,hCastelloEmpuries,42.23817973,3.095372489,4
25,hCerdanyola,41.48405069,2.12742192,84
26,hClariana,41.953766,1.585108748,692
27,hColomers,42.07686002,2.991162733,18
28,hComa,42.18524458,1.525707241,2296
29,hConstanti,41.17047513,1.169917801,108
30,hCruilles,41.97729208,2.996958251,58
31,hCunit,41.20185982,1.633426797,17
32,hDarniusBoadella,42.34058878,2.833225165,155
33,hDas,42.3878125,1.867668594,1097
34,hDosrius,41.61991606,2.445148514,457
35,hEspluga,41.39315529,1.099095071,440
36,hEspolla,42.38456053,3.007033775,84
37,hFalset,41.15348076,0.81988532,356
38,hFarners,41.86488356,2.66445218,165
39,hFontrubi,41.43266407,1.624227982,410
40,hFornells,41.91477887,2.819735293,96
41,hGirona,41.96746381,2.811283666,81
42,hGisclareny,42.26476292,1.762143999,1388
43,hGuardiolaBergueda,42.23412339,1.874831612,787
44,hGurb,41.95226574,2.232755939,509
45,hHostaletsPierola,41.53139597,1.807717573,312
46,hLlacuna,41.47945684,1.535278491,589
47,hLladurs,42.0884068,1.4284066,775
48,hMalgrat,41.64710023,2.756537656,2
49,hMasroig,41.1222639,0.721353503,139
50,hMediona,41.48492084,1.69190182,327
51,hMollo,42.37735768,2.414855338,1407
52,hMonistrol,41.59555413,1.836774267,918
53,hMontella,42.28881879,1.713131008,2347
54,hMontmaneu,41.60256359,1.400703282,785
55,hMontmell,41.34235448,1.486292839,548
56,hMuntanyola,41.87812207,2.178025219,810
57,hNulles,41.25121485,1.298390542,240
58,hOdena,41.58527017,1.653000084,331
59,hOlot,42.1881312,2.470967323,433
60,hOris,42.07405238,2.20886639,625
61,hParets,41.56729124,2.226138009,106
62,hParlava,42.02146305,3.060212741,16
63,hPerello,40.87311862,0.715634565,173
64,hPinos,41.79646293,1.521197,635
65,hPontVilomara,41.67532853,1.875608327,284
66,hPortbou,42.43505378,3.166429339,196
67,hPrades,41.31397188,0.997524452,976
68,hQuar,42.08077637,1.96202869,860
69,hQueralbs,42.39862265,2.155214636,1970
70,hQueralt,41.52985522,1.367064185,715
71,hRellinars,41.6327216,1.917432556,425
72,hRoses,42.27053272,3.182523882,25
73,hSabadell,41.56562666,2.069596759,259
74,hSantLlorenc,41.68135426,2.026600704,529
75,hSantMartiSarroca,41.37517655,1.63000818,258
76,hSantPau,42.2584787,2.364429353,852
77,hSantPerePescador,42.17665711,3.095740108,3
78,hSantPereRibes,41.27845618,1.804703017,157
79,hSantQuirze,42.09642376,2.214018089,668
80,hSantSadurni,41.43384238,1.794256277,165
81,hSantSalvador,41.67418051,1.767183925,346
82,hSau,41.96862496,2.413554059,425
83,hTagamanent,41.74765415,2.302826152,1030
84,hTallada,42.0541921,3.062020138,15
85,hTarragona,41.1038862,1.200967403,6
86,hTorredembarra,41.14662156,1.418496224,2
87,hTorroellaFluvia,42.1825812,3.058754822,7
88,hTorroellaMontgri,42.02300193,3.156810545,5
89,hUlldemolins,41.3200401,0.88561879,685
90,hVacarisses,41.59239847,1.914735119,344
91,hVallBas,42.14573351,2.454570845,461
92,hVallirana,41.38076264,1.932935318,217
93,hVendrell,41.21541451,1.52033382,61
94,hVentallo,42.1502899,3.064933915,5
95,hVilablareix,41.95347613,2.776068281,114
96,hViladecans,41.29846393,2.038550692,2
97,hVilafranca,41.36615109,1.728885633,239
98,hVilanovaValles,41.55050498,2.286530991,98
99,hVilarodona,41.30725303,1.362609678,285
100,hVilassar,41.51171214,2.386767277,44
101,hVilobi,41.88544631,2.741050621,118
102,hVinyols,41.08086743,1.066150831,31
