ID,NAME,LAT,LONG,ELEVATION
1,sAmetllaMar,40.90912966,0.764308144,96
2,sAngles,41.96012025,2.63176987,150
3,sArbucies,41.8400619,2.418776362,956
4,sBadalona,41.46681186,2.244709968,78
5,sBanyoles,42.11366986,2.791581201,162
6,sBarcelona2,41.41858513,2.123895211,411
7,sBarcelona3,41.37920641,2.105421052,82
8,sBegues,41.28853959,1.908476795,570
9,sBerga,42.10721975,1.827465851,1135
10,sBisbalEmporda,41.97742178,3.035354374,30
11,sBoi,42.04109412,2.119346323,773
12,sBotarell,41.13742466,1.024231866,148
13,sCabanes,42.3063787,2.954828468,31
14,sCabrils,41.51751699,2.377472408,79
15,sCaldes,41.61261678,2.168274635,176
16,sCassa,41.87477182,2.927162998,181
17,sCastellAro,41.80901302,3.031746298,14
18,sCastellbisbal,41.47887927,1.975463497,145
19,sCastellnouBages,41.83087346,1.847094854,506
20,sClariana,41.953766,1.585108748,692
21,sComa,42.18524458,1.525707241,2296
22,sConstanti,41.17047513,1.169917801,108
23,sCruilles,41.97729208,2.996958251,58
24,sCunit,41.20185982,1.633426797,17
25,sDas,42.3878125,1.867668594,1097
26,sDosrius,41.61991606,2.445148514,457
27,sEspluga,41.39315529,1.099095071,440
28,sFalset,41.15348076,0.81988532,356
29,sFarners,41.86488356,2.66445218,165
30,sFontrubi,41.43266407,1.624227982,410
31,sGirona,41.96746381,2.811283666,81
32,sGuardiolaBergueda,42.23412339,1.874831612,787
33,sGurb,41.95226574,2.232755939,509
34,sHostaletsPierola,41.53139597,1.807717573,312
35,sLladurs,42.0884068,1.4284066,775
36,sMalgrat,41.64710023,2.756537656,2
37,sMediona,41.48492084,1.69190182,327
38,sMollo,42.37735768,2.414855338,1407
39,sMonistrol,41.59555413,1.836774267,918
40,sMontella,42.28881879,1.713131008,2347
41,sMontmaneu,41.60256359,1.400703282,785
42,sMontmell,41.34235448,1.486292839,548
43,sMuntanyola,41.87812207,2.178025219,810
44,sOdena,41.58527017,1.653000084,331
45,sOlot,42.1881312,2.470967323,433
46,sOris,42.07405238,2.20886639,625
47,sParets,41.56729124,2.226138009,106
48,sPerello,40.87311862,0.715634565,173
49,sPinos,41.79646293,1.521197,635
50,sPontVilomara,41.67532853,1.875608327,284
51,sPortbou,42.43505378,3.166429339,196
52,sPrades,41.31397188,0.997524452,976
53,sQuar,42.08077637,1.96202869,860
54,sQueralbs,42.39862265,2.155214636,1970
55,sQueralt,41.52985522,1.367064185,715
56,sRellinars,41.6327216,1.917432556,425
57,sRoses,42.27053272,3.182523882,25
58,sSabadell,41.56562666,2.069596759,259
59,sSantMartiSarroca,41.37517655,1.63000818,258
60,sSantPau,42.2584787,2.364429353,852
61,sSantPerePescador,42.17665711,3.095740108,3
62,sSantSadurni,41.43384238,1.794256277,165
63,sSantSalvador,41.67418051,1.767183925,346
64,sTallada,42.0541921,3.062020138,15
65,sTarragona,41.1038862,1.200967403,6
66,sTorredembarra,41.14662156,1.418496224,2
67,sUlldemolins,41.3200401,0.88561879,685
68,sVacarisses,41.59239847,1.914735119,344
69,sVallBas,42.14573351,2.454570845,461
70,sVallirana,41.38076264,1.932935318,217
71,sVendrell,41.21541451,1.52033382,61
72,sViladecans,41.29846393,2.038550692,2
73,sVilafranca,41.36615109,1.728885633,239
74,sVilarodona,41.30725303,1.362609678,285
75,sVilassar,41.51171214,2.386767277,44
76,sVinyols,41.08086743,1.066150831,31
