ID,NAME,LAT,LONG,ELEVATION
1,tAmetllaMar,40.90912966,0.764308144,96
2,tAngles,41.96012025,2.63176987,150
3,tArbucies,41.8400619,2.418776362,956
4,tArtes,41.79243991,1.935570375,278
5,tBadalona,41.46681186,2.244709968,78
6,tBaells,42.12201452,1.878559556,616
7,tBanyoles,42.11366986,2.791581201,162
8,tBarcelona2,41.41858513,2.123895211,411
9,tBarcelona3,41.37920641,2.105421052,82
10,tBegues,41.28853959,1.908476795,570
11,tBerga,42.10721975,1.827465851,1135
12,tBisbalEmporda,41.97742178,3.035354374,30
13,tBisbalPenedes,41.27319906,1.468812853,181
14,tBlancafort,41.43651336,1.16048732,426
15,tBoi,42.04109412,2.119346323,773
16,tBotarell,41.13742466,1.024231866,148
17,tCabanes,42.3063787,2.954828468,31
18,tCabrils,41.51751699,2.377472408,79
19,tCaldes,41.61261678,2.168274635,176
20,tCassa,41.87477182,2.927162998,181
21,tCastell,41.80901302,3.031746298,14
22,tCastellbisbal,41.47887927,1.975463497,145
23,tCastellnouBages,41.83087346,1.847094854,506
24,tCastelloEmpuries,42.23817973,3.095372489,4
25,tCerdanyola,41.48405069,2.12742192,84
26,tClariana,41.953766,1.585108748,692
27,tColomers,42.07686002,2.991162733,18
28,tComa,42.18524458,1.525707241,2296
29,tConstanti,41.17047513,1.169917801,108
30,tCruilles,41.97729208,2.996958251,58
31,tCunit,41.20185982,1.633426797,17
32,tDarniusBoadella,42.34058878,2.833225165,155
33,tDas,42.3878125,1.867668594,1097
34,tDosrius,41.61991606,2.445148514,457
35,tEspluga,41.39315529,1.099095071,440
36,tEspolla,42.38456053,3.007033775,84
37,tFalset,41.15348076,0.81988532,356
38,tFarners,41.86488356,2.66445218,165
39,tFontrubi,41.43266407,1.624227982,410
40,tFornells,41.91477887,2.819735293,96
41,tGirona,41.96746381,2.811283666,81
42,tGisclareny,42.26476292,1.762143999,1388
43,tGuardiolaBergueda,42.23412339,1.874831612,787
44,tGurb,41.95226574,2.232755939,509
45,tHostaletsPierola,41.53139597,1.807717573,312
46,tIsovol,42.37235809,1.813327693,1031
47,tLlacuna,41.47945684,1.535278491,589
48,tLladurs,42.0884068,1.4284066,775
49,tMalgrat,41.64710023,2.756537656,2
50,tMasroig,41.1222639,0.721353503,139
51,tMediona,41.48492084,1.69190182,327
52,tMollo,42.37735768,2.414855338,1407
53,tMonistrol,41.59555413,1.836774267,918
54,tMontella,42.28881879,1.713131008,2347
55,tMontmaneu,41.60256359,1.400703282,785
56,tMontmell,41.34235448,1.486292839,548
57,tMuntanyola,41.87812207,2.178025219,810
58,tNulles,41.25121485,1.298390542,240
59,tOdena,41.58527017,1.653000084,331
60,tOlot,42.1881312,2.470967323,433
61,tOris,42.07405238,2.20886639,625
62,tParets,41.56729124,2.226138009,106
63,tParlava,42.02146305,3.060212741,16
64,tPerello,40.87311862,0.715634565,173
65,tPinos,41.79646293,1.521197,635
66,tPontVilomara,41.67532853,1.875608327,284
67,tPortbou,42.43505378,3.166429339,196
68,tPrades,41.31397188,0.997524452,976
69,tQuar,42.08077637,1.96202869,860
70,tQueralbs,42.39862265,2.155214636,1970
71,tQueralt,41.52985522,1.367064185,715
72,tRellinars,41.6327216,1.917432556,425
73,tRoses,42.27053272,3.182523882,25
74,tSabadell,41.56562666,2.069596759,259
75,tSantLlorenc,41.68135426,2.026600704,529
76,tSantMartiSarroca,41.37517655,1.63000818,258
77,tSantPau,42.2584787,2.364429353,852
78,tSantPerePescador,42.17665711,3.095740108,3
79,tSantPereRibes,41.27845618,1.804703017,157
80,tSantQuirze,42.09642376,2.214018089,668
81,tSantSadurni,41.43384238,1.794256277,165
82,tSantSalvador,41.67418051,1.767183925,346
83,tSau,41.96862496,2.413554059,425
84,tTagamanent,41.74765415,2.302826152,1030
85,tTallada,42.0541921,3.062020138,15
86,tTarragona,41.1038862,1.200967403,6
87,tTorredembarra,41.14662156,1.418496224,2
88,tTorroellaFluvia,42.1825812,3.058754822,7
89,tTorroellaMontgri,42.02300193,3.156810545,5
90,tUlldemolins,41.3200401,0.88561879,685
91,tVacarisses,41.59239847,1.914735119,344
92,tVallBas,42.14573351,2.454570845,461
93,tVallirana,41.38076264,1.932935318,217
94,tVendrell,41.21541451,1.52033382,61
95,tVentallo,42.1502899,3.064933915,5
96,tVilablareix,41.95347613,2.776068281,114
97,tViladecans,41.29846393,2.038550692,2
98,tVilafranca,41.36615109,1.728885633,239
99,tVilanovaValles,41.55050498,2.286530991,98
100,tVilarodona,41.30725303,1.362609678,285
101,tVilassar,41.51171214,2.386767277,44
102,tVilobi,41.88544631,2.741050621,118
103,tVinyols,41.08086743,1.066150831,31
