ID,NAME,LAT,LONG,ELEVATION
1,wAmetllaMar,40.90912966,0.764308144,96
2,wAngles,41.96012025,2.63176987,150
3,wArbucies,41.8400619,2.418776362,956
4,wBadalona,41.46681186,2.244709968,78
5,wBaells,42.12201452,1.878559556,616
6,wBanyoles,42.11366986,2.791581201,162
7,wBarcelona2,41.41858513,2.123895211,411
8,wBarcelona3,41.37920641,2.105421052,82
9,wBegues,41.28853959,1.908476795,570
10,wBerga,42.10721975,1.827465851,1135
11,wBisbalEmporda,41.97742178,3.035354374,30
12,wBoi,42.04109412,2.119346323,773
13,wBotarell,41.13742466,1.024231866,148
14,wCabanes,42.3063787,2.954828468,31
15,wCabrils,41.51751699,2.377472408,79
16,wCaldes,41.61261678,2.168274635,176
17,wCassa,41.87477182,2.927162998,181
18,wCastellAro,41.80901302,3.031746298,14
19,wCastellbisbal,41.47887927,1.975463497,145
20,wCastellnouBages,41.83087346,1.847094854,506
21,wCerdanyola,41.48405069,2.12742192,84
22,wClariana,41.953766,1.585108748,692
23,wColomers,42.07686002,2.991162733,18
24,wComa,42.18524458,1.525707241,2296
25,wConstanti,41.17047513,1.169917801,108
26,wCruilles,41.97729208,2.996958251,58
27,wCunit,41.20185982,1.633426797,17
28,wDarniusBoadella,42.34058878,2.833225165,155
29,wDas,42.3878125,1.867668594,1097
30,wDosrius,41.61991606,2.445148514,457
31,wEspluga,41.39315529,1.099095071,440
32,wFalset,41.15348076,0.81988532,356
33,wFarners,41.86488356,2.66445218,165
34,wFontrubi,41.43266407,1.624227982,410
35,wGirona,41.96746381,2.811283666,81
36,wGisclareny,42.26476292,1.762143999,1388
37,wGuardiolaBergueda,42.23412339,1.874831612,787
38,wGurb,41.95226574,2.232755939,509
39,wHostaletsPierola,41.53139597,1.807717573,312
40,wLladurs,42.0884068,1.4284066,775
41,wMalgrat,41.64710023,2.756537656,2
42,wMasroig,41.1222639,0.721353503,139
43,wMediona,41.48492084,1.69190182,327
44,wMollo,42.37735768,2.414855338,1407
45,wMonistrol,41.59555413,1.836774267,918
46,wMontella,42.28881879,1.713131008,2347
47,wMontmaneu,41.60256359,1.400703282,785
48,wMontmell,41.34235448,1.486292839,548
49,wMuntanyola,41.87812207,2.178025219,810
50,wOdena,41.58527017,1.653000084,331
51,wOlot,42.1881312,2.470967323,433
52,wOris,42.07405238,2.20886639,625
53,wParets,41.56729124,2.226138009,106
54,wPerello,40.87311862,0.715634565,173
55,wPinos,41.79646293,1.521197,635
56,wPontVilomara,41.67532853,1.875608327,284
57,wPortbou,42.43505378,3.166429339,196
58,wPrades,41.31397188,0.997524452,976
59,wQuar,42.08077637,1.96202869,860
60,wQueralbs,42.39862265,2.155214636,1970
61,wQueralt,41.52985522,1.367064185,715
62,wRellinars,41.6327216,1.917432556,425
63,wRoses,42.27053272,3.182523882,25
64,wSabadell,41.56562666,2.069596759,259
65,wSantLlorenc,41.68135426,2.026600704,529
66,wSantMartiSarroca,41.37517655,1.63000818,258
67,wSantPau,42.2584787,2.364429353,852
68,wSantPerePescador,42.17665711,3.095740108,3
69,wSantPereRibes,41.27845618,1.804703017,157
70,wSantQuirze,42.09642376,2.214018089,668
71,wSantSadurni,41.43384238,1.794256277,165
72,wSantSalvador,41.67418051,1.767183925,346
73,wSau,41.96862496,2.413554059,425
74,wTagamanent,41.74765415,2.302826152,1030
75,wTallada,42.0541921,3.062020138,15
76,wTarragona,41.1038862,1.200967403,6
77,wTorredembarra,41.14662156,1.418496224,2
78,wUlldemolins,41.3200401,0.88561879,685
79,wVallBas,42.14573351,2.454570845,461
80,wVallirana,41.38076264,1.932935318,217
81,wVendrell,41.21541451,1.52033382,61
82,wViladecans,41.29846393,2.038550692,2
83,wVilafranca,41.36615109,1.728885633,239
84,wVilanovaValles,41.55050498,2.286530991,98
85,wVilarodona,41.30725303,1.362609678,285
86,wVilassar,41.51171214,2.386767277,44
87,wVinyols,41.08086743,1.066150831,31
